kanji,jlpt_level,meanings
改,N2,change|examine|inspect|mend|modify|reformation|renew|search
敬,N2,awe|honor|respect|revere
旧,N2,ex-|former|old friend|old things|old times
昇,N2,rise up
星,N2,dot|mark|spot|star
普,N2,Prussia|generally|universal|wide(ly)
暴,N2,cruelty|force|fret|outburst|outrage|rave|violence
曇,N2,cloud up|cloudy weather
替,N2,exchange|per-|spare|substitute
札,N2,bid|counter for bonds|paper money|placard|tag
机,N2,desk|table
材,N2,ingredients|log|lumber|materials|talent|timber|wood
村,N2,town|village
板,N2,board|plank|plate|stage
林,N2,forest|grove
枚,N2,counter for flat thin objects or sheets|sheet of...
枝,N2,bough|branch|counter for branches|limb|twig
枯,N2,be seasoned|die|dry up|wither
柔,N2,gentleness|softness|tender|weakness
柱,N2,cylinder|pillar|post|support
査,N2,investigate
栄,N2,flourish|glory|honor|prosperity|splendor
根,N2,head (pimple)|radical|root
械,N2,contraption|fetter|instrument|machine
棒,N2,cane|club|line|pole|rod|stick
森,N2,forest|woods
植,N2,plant
極,N2,10**48|conclusion|electric poles|end|extremely|highest rank|highly|most|poles|settlement|very
橋,N2,bridge
欧,N2,Europe
武,N2,arms|chivalry|military|warrior
歴,N2,continuation|curriculum|passage of time
殿,N2,Mr.|hall|lord|mansion|palace|temple
毒,N2,germ|harm|injury|poison|spite|venom|virus
比,N2,Philippines|compare|race|ratio
毛,N2,down|feather|fur|hair
氷,N2,congeal|freeze|hail|ice|icicle
永,N2,eternity|lengthy|long
汗,N2,perspire|sweat
汚,N2,defile|dirty|disgrace|pollute|rape
池,N2,cistern|pond|pool|reservoir
沈,N2,aloes|be depressed|be submerged|sink|subside
河,N2,river
沸,N2,boil|breed|ferment|seethe|uproar
油,N2,fat|oil
況,N2,condition|situation
泉,N2,fountain|spring
泊,N2,overnight stay|put up at|ride at anchor
波,N2,Poland|billows|waves
泥,N2,adhere to|be attached to|mire|mud
浅,N2,frivolous|shallow|shameful|superficial|wretched
浴,N2,bask in|bathe|be favored with
涙,N2,sympathy|tears
液,N2,fluid|juice|liquid|sap|secretion
涼,N2,nice and cool|refreshing
混,N2,blend|confuse|mix
清,N2,Manchu dynasty|cleanse|exorcise|pure|purify
減,N2,curtail|decline|decrease|dwindle|get hungry|reduce
温,N2,warm
測,N2,fathom|measure|plan|scheme
湖,N2,lake
湯,N2,bath|hot spring|hot water
湾,N2,bay|gulf|inlet
湿,N2,damp|moist|wet
準,N2,conform|correspond to|imitate|proportionate to|semi-
溶,N2,dissolve|melt|thaw
滴,N2,drip|drop
漁,N2,fishery|fishing
濃,N2,concentrated|dark|thick|undiluted
濯,N2,laundry|pour on|rinse|wash
灯,N2,a light|counter for lights|lamp|light
灰,N2,ashes|cremate|puckery juice
炭,N2,charcoal|coal
焼,N2,bake|burning
照,N2,bashful|compare|illuminate|shine
燃,N2,blaze|burn|glow
燥,N2,dry up|parch
爆,N2,bomb|burst open|pop|split
片,N2,leaf|one-sided|right-side kata radical (no. 91)|sheet
版,N2,edition|impression|label|printing block|printing plate
玉,N2,ball|jewel
珍,N2,curious|rare|strange
瓶,N2,bottle|jar|jug|urn|vat|vial
甘,N2,be content|coax|pamper|sugary|sweet
畜,N2,domestic fowl and animals|livestock
略,N2,abbreviation|capture|omission|outline|plunder|shorten
畳,N2,counter for tatami mats|do away with|fold|shut up|tatami mat
療,N2,cure|heal
皮,N2,hide|leather|pelt|skin|skin radical (no. 107)
皿,N2,a helping|dish|plate
省,N2,conserve|government ministry|omit
県,N2,prefecture
短,N2,brevity|defect|fault|short|weak point
砂,N2,sand
硬,N2,hard|stiff
磨,N2,brush (teeth)|grind|improve|polish|scour
祈,N2,pray|wish
祝,N2,celebrate|congratulate
祭,N2,celebrate|deify|enshrine|offer prayers|ritual|worship
禁,N2,ban|forbid|prohibition
秒,N2,second (1/60 minute)
移,N2,"catch (cold, fire)|change|drift|move|pass into|shift"
税,N2,duty|tax
章,N2,badge|chapter|composition|design|poem
童,N2,child|juvenile
競,N2,bid|bout|compete with|contest|emulate|race|sell at auction
竹,N2,bamboo
符,N2,charm|mark|sign|tally|token
筆,N2,handwriting|painting brush|writing|writing brush
筒,N2,cylinder|gun barrel|pipe|sleeve|tube
算,N2,abacus|calculate|divining|number|probability
管,N2,control|drunken talk|jurisdiction|pipe|tube|wind instrument
築,N2,build|construct|fabricate
簡,N2,brevity|simplicity
籍,N2,domiciliary register|enroll|membership
粉,N2,dust|flour|powder
粒,N2,counter for tiny particles|drop|grains
糸,N2,thread
紅,N2,crimson|deep red
純,N2,genuine|innocence|net (profit)|purity
細,N2,dainty|detailed|get thin|narrow|precise|slender|taper
紹,N2,help|inherit|introduce
絡,N2,coil around|entwine|get caught in
綿,N2,cotton
総,N2,all|full|general|total|whole
緑,N2,green
線,N2,line|track
編,N2,braid|compilation|completed poem|editing|knit|part of a book|plait|twist
練,N2,drill|gloss|polish|practice|refine|train
績,N2,achievements|exploits|unreeling cocoons
缶,N2,container|jar radical (no. 121)|tin can
署,N2,govt office|police station|signature
群,N2,cluster|crowd|flock|group|herd|swarm
羽,N2,"counter for birds, rabbits|feathers"
翌,N2,next|the following
耕,N2,cultivate|plow|till
肌,N2,body|grain|skin|texture
肩,N2,shoulder
肯,N2,agreement|comply with|consent
胃,N2,craw|crop|paunch|stomach
胸,N2,bosom|breast|chest|feelings|heart
脂,N2,fat|grease|gum|lard|rosin|tallow|tar
脳,N2,brain|memory
腕,N2,ability|arm|talent
腰,N2,hips|loins|low wainscoting|waist
膚,N2,body|disposition|grain|skin|texture
臓,N2,bowels|entrails|viscera
臣,N2,retainer|subject
舟,N2,boat|ship
航,N2,cruise|fly|navigate|sail
般,N2,all|carrier|carry|general|kind|sort
芸,N2,acting|art|craft|performance|stunt|technique|trick
荒,N2,laid waste|rough|rude|wild
荷,N2,baggage|bear (a burden)|cargo|freight|load|shoulder (a gun)|shoulder-pole load
菓,N2,cakes|candy|fruit
菜,N2,greens|side dish|vegetable
著,N2,arrival|counter for suits of clothing|don|finish (race)|literary work|phenomenal|publish|put on|remarkable|renowned|wear|write
蒸,N2,foment|get musty|heat|steam|sultry
蔵,N2,have|hide|own|possess|storehouse
薄,N2,dilute|pampas grass|thin|weak (tea)
虫,N2,bug|insect|temper
血,N2,blood
衣,N2,clothes|dressing|garment
袋,N2,bag|pouch|sack
被,N2,be exposed (film)|brood over|cover|incur|put on|receiving|shelter|veil|wear
装,N2,attire|disguise|dress|pretend|profess
裏,N2,amidst|back|in|inside|lining|palm|rear|reverse|sole|wrong side
補,N2,assistant|compensate|learner|make good|offset|supplement|supply
複,N2,compound|double|duplicate|multiple
角,N2,angle|antlers|corner|horn|square
触,N2,announce|conflict|contact|feel|hit|proclaim|touch
訓,N2,Japanese character reading|explanation|instruction|read
設,N2,establishment|prepare|provision
詞,N2,part of speech|poetry|words
詰,N2,blame|close|packed|pressed|rebuke|reprove
誌,N2,document|records
課,N2,chapter|counter for chapters (of a book)|department|division|lesson|section
諸,N2,many|several|together|various
講,N2,association|club|lecture
谷,N2,valley
豊,N2,bountiful|excellent|rich
象,N2,elephant|image|imitate|pattern after|shape|sign (of the times)
貝,N2,shellfish
貨,N2,freight|goods|property
販,N2,marketing|sell|trade
貯,N2,keep|lay in|savings|store|wear mustache
貿,N2,exchange|trade
賞,N2,praise|prize|reward
賢,N2,cleverness|intelligent|wisdom|wise
贈,N2,award to|confer on|give to|presenting something|presents|send
超,N2,super-|transcend|ultra-
跡,N2,impression|mark|print|tracks
踊,N2,dance|jump|leap|skip
軍,N2,army|battle|force|troops|war
軒,N2,counter for houses|eaves|flats
軟,N2,soft
軽,N2,lightly|trifling|unimportant
輪,N2,circle|counter for wheels and flowers|link|loop|ring|wheel
輸,N2,be inferior|send|transport
辛,N2,acrid|bitter|hot|spicy
農,N2,agriculture|farmers
辺,N2,border|boundary|environs|vicinity
述,N2,mention|relate|speak|state
逆,N2,inverted|opposite|reverse|wicked
造,N2,create|make|physique|structure
郊,N2,outskirts|rural area|suburbs
郵,N2,mail|stagecoach stop
量,N2,amount|consider|estimate|measure|quantity|surmise|weight
針,N2,needle|pin|staple|stinger
鈍,N2,blunt|dull|foolish|slow
鉄,N2,iron
鉱,N2,mineral|ore
銅,N2,copper
鋭,N2,edge|pointed|sharp|sharpness|violent|weapon
録,N2,record
門,N2,counter for cannons|gate
防,N2,defend|protect|resist|ward off
陸,N2,land|six
隅,N2,corner|nook
階,N2,counter for storeys of a building|stair|storey
隻,N2,arrows|birds|counter for ships|fish|one of a pair|vessels
雇,N2,employ|hire
雲,N2,cloud
零,N2,cipher|nothing|overflow|spill|zero
震,N2,quake|quiver|shake|shiver|tremble
革,N2,become serious|leather|reform|skin
順,N2,docility|obey|occasion|order|right|turn
預,N2,custody|deposit|entrust to|leave with
領,N2,dominion|fief|jurisdiction|reign|territory
額,N2,amount|forehead|framed picture|plaque|sum|tablet|volume
香,N2,incense|perfume|smell
駐,N2,reside in|resident|stop-over
骨,N2,bone|frame|remains|skeleton
麦,N2,barley|wheat
黄,N2,yellow
鼻,N2,nose|snout
齢,N2,age
丁,N1,"4th calendar sign|counter for guns, tools, leaves or cakes of something|even number|street|town|ward"
丑,N1,1-3AM|second sign of Chinese zodiac|sign of the ox or cow
且,N1,also|furthermore|moreover
丘,N1,hill|knoll
丙,N1,3rd|3rd calendar sign|third class
丞,N1,help
丹,N1,pills|red|red lead|rust-colored|sincerity
乃,N1,accordingly|from|possessive particle|whereupon
之,N1,of|this
乏,N1,destitution|limited|scarce
乙,N1,duplicate|fishhook radical (no. 5)|strange|the latter|witty
也,N1,to be (classical)
亀,N1,tortoise|turtle
井,N1,community|town|well|well crib
亘,N1,extend over|range|span
亜,N1,-ous|Asia|come after|rank next
亥,N1,9-11PM|sign of the hog|twelfth sign of the Chinese zodiac
亦,N1,again|also
亨,N1,go smoothly|pass through
享,N1,answer (phone)|catch|enjoy|get|receive|take|undergo
亭,N1,arbor|cottage|mansion|music hall|pavilion|restaurant|stage name|vaudeville
亮,N1,clear|help
仁,N1,benevolence|charity|humanity|kernel|man|virtue
仙,N1,cent|hermit|wizard
仮,N1,assumed (name)|informal|interim|sham|temporary
仰,N1,depend|drink|face-up|look up|respect|revere|seek|take
企,N1,attempt|design|plan|scheme|undertake
伊,N1,Italy|that one
伍,N1,file|five|five-man squad|line
伎,N1,deed|skill
伏,N1,bend down|bow|cover|lay (pipes)|prostrated
伐,N1,attack|fell|punish|strike
伯,N1,Brazil|chief|count|earl|uncle
伴,N1,accompany|bring with|companion|consort
伶,N1,actor
伽,N1,attending|entertainer|nursing
但,N1,but|however
佐,N1,assistant|help
佑,N1,assist|help
佳,N1,beautiful|excellent|good|pleasing|skilled
併,N1,collective|get together|join|unite
侃,N1,just|peace-loving|righteous|strong
侍,N1,samurai|serve|wait upon|waiter
侑,N1,urge to eat
価,N1,price|value
侮,N1,contempt|despise|make light of|scorn
侯,N1,daimyo|lord|marquis
侵,N1,encroach|invade|raid|trespass|violate
促,N1,demand|incite|press|stimulate|urge
俊,N1,excellence|genius|sagacious
俗,N1,customs|manners|mundane things|vulgar|worldliness
保,N1,guarantee|keep|preserve|protect|support|sustain
修,N1,conduct oneself well|discipline|master|study
俳,N1,actor|haiku
俵,N1,bag|bale|counter for bags|sack
俸,N1,salary|stipend
倉,N1,cellar|godown|storehouse|treasury|warehouse
倖,N1,happiness|luck
倣,N1,emulate|imitate
倫,N1,companion|ethics
倭,N1,Yamato|ancient Japan
倹,N1,economy|frugal|thrifty
偏,N1,biased|inclining|left-side radical|partial|side
健,N1,health|healthy|persistence|strength
偲,N1,recollect|remember
偵,N1,spy
偽,N1,counterfeit|deceive|falsehood|forgery|lie|pretend
傍,N1,besides|bystander|nearby|side|third person|while
傑,N1,excellence|greatness
傘,N1,umbrella
催,N1,give (a dinner)|hold (a meeting)|sponsor
債,N1,bond|debt|loan
傷,N1,cut|gash|hurt|impair|injure|injury|pain|scar|weak point|wound
僕,N1,I (male)|manservant|me|servant
僚,N1,colleague|companion|official
僧,N1,Buddhist priest|monk
儀,N1,a matter|affair|case|ceremony|rule
儒,N1,Confucian
償,N1,make up for|recompense|redeem|reparation
允,N1,license|permit|sincerity
充,N1,allot|fill
克,N1,kindly|overcome|skillfully
免,N1,dismissal|excuse
典,N1,ceremony|code|law|rule
兼,N1,and|beforehand|concurrently|in advance
冒,N1,assume (a name)|damage|dare|defy|face|risk
冗,N1,superfluous|uselessness
冠,N1,best|crown|peerless
冴,N1,be clear|cold|serene|skilful
冶,N1,melting|smelting
准,N1,associate|quasi-|semi-
凌,N1,defy|endure|keep (rain)out|slight|stave off|surpass|tide over
凜,N1,cold|severe|strict
凝,N1,be absorbed in|congeal|freeze|stiff
凡,N1,commonplace|mediocre|ordinary
凪,N1,(kokuji)|calm|lull
凱,N1,victory song
凶,N1,bad luck|disaster|evil|villain
凸,N1,beetle brow|convex|uneven
凹,N1,concave|hollow|sunken
刀,N1,knife|saber|sword
刃,N1,blade|edge|sword
刈,N1,clip|cut|prune|reap|trim
刑,N1,penalty|punish|punishment|sentence
削,N1,pare|plane|sharpen|shave|whittle
剖,N1,divide
剛,N1,strength|sturdy
剣,N1,blade|clock hand|sabre|sword
剤,N1,dose|drug|medicine
剰,N1,besides|surplus
創,N1,genesis|hurt|injury|originate|start|wound
功,N1,achievement|credit|honor|merits|success
劣,N1,be inferior to|be worse|inferiority
励,N1,be diligent|encourage|inspire
劾,N1,censure|criminal investigation
勁,N1,strong
勅,N1,imperial order
勘,N1,check|compare|intuition|perception|sixth sense
勧,N1,advise|encourage|offer|persuade|recommend
勲,N1,merit|meritorious deed
勺,N1,dip|ladle|one tenth of a go
匁,N1,(kokuji)|3.75 grams|monme
匠,N1,artisan|carpenter|workman
匡,N1,assist|correct|save
匿,N1,hide|shelter|shield
升,N1,1.8 liter|measuring box
卑,N1,base|despise|lowly|vile|vulgar
卓,N1,desk|eminent|high|table
博,N1,Dr.|Ph.D.|command|esteem|exposition|fair|win acclaim
卯,N1,5-7AM|east|fourth sign of Chinese zodiac|sign of the hare or rabbit
即,N1,adapt|agree|as is|conform|instant|namely
却,N1,instead|on the contrary|rather|retreat|step back|withdraw
卸,N1,wholesale
厄,N1,bad luck|disaster|misfortune|unlucky
厘,N1,1/10 bu|1/10 sen|rin
厳,N1,rigidity|severity|stern|strictness
又,N1,furthermore|on the other hand|or again
及,N1,cause|exercise|exert|reach out
叔,N1,uncle|youth
叙,N1,confer|describe|narrate|relate
叡,N1,imperial|intelligence
句,N1,clause|counter for haiku|paragraph|passage|phrase|sentence
只,N1,free|in addition|only
叶,N1,answer|grant
司,N1,administer|director|govt office|official|rule
吉,N1,congratulations|good luck|joy
后,N1,after|back|behind|empress|later|queen
吏,N1,an official|officer
吐,N1,belch|confess|spit|tell (lies)|vomit
吟,N1,recital|singing|versify
呂,N1,backbone|spine
呈,N1,display|exhibit|offer|present|send
呉,N1,do something for|give|kingdom of Wu
哀,N1,grief|pathetic|pathos|pity|sorrow|sympathize
哉,N1,alas|exclamation mark|how|question mark|what
哲,N1,clear|philosophy
唄,N1,ballad|song
唆,N1,instigate|promote|seduce|tempt
唇,N1,lips
唯,N1,merely|only|simply|solely
唱,N1,call upon|chant|recite|yell
啄,N1,peck|pick up
啓,N1,disclose|open|say
善,N1,good|goodness|virtuous
喚,N1,call|cry|scream|summon|yell
喝,N1,hoarse|scold
喪,N1,miss|mourning
喬,N1,boasting|high
嗣,N1,heir|succeed
嘆,N1,grieve|lament|moan|sigh|sigh of admiration
嘉,N1,applaud|auspicious|esteem|happy|praise
嘱,N1,entrust|request|send a message
器,N1,ability|container|implement|instrument|receptacle|set|tool|utensil|vessel
噴,N1,emit|erupt|flush out|spout
嚇,N1,dignity|majesty|menacing|threaten
囚,N1,arrest|captured|catch|criminal
圏,N1,circle|radius|range|sphere
圭,N1,angle|corner|edge|square jewel
坑,N1,hole|pit
坪,N1,approx. thirty-six sq ft|two-mat area
垂,N1,droop|hang|slouch|suspend
垣,N1,fence|hedge|wall
執,N1,grasp|take hold|take to heart|tenacious
培,N1,cultivate|foster
基,N1,counter for machines|foundation|fundamentals|radical (chem)
堀,N1,canal|ditch|moat
堅,N1,hard|reliable|solid|strict|tight|tough
堕,N1,degenerate|descend to|lapse into
堤,N1,bank|dike|embankment
堪,N1,endure|resist|support|withstand
塀,N1,(kokuji)|fence|wall
塁,N1,base(ball)|bases|fort|rampart|walls
塊,N1,chunk|clod|clot|lump|mass
塑,N1,model|molding
塚,N1,hillock|mound
塾,N1,cram school|private school
墓,N1,grave|tomb
墜,N1,crash|fall (down)
墨,N1,India ink|Mexico|black ink|ink stick
墳,N1,mound|tomb
墾,N1,ground-breaking|open up farmland
壁,N1,fence|lining (stomach)|wall
壇,N1,podium|rostrum|stage|terrace
壊,N1,break|demolition|destroy
壌,N1,earth|lot|soil
士,N1,gentleman|samurai|samurai radical (no. 33)|scholar
壮,N1,manhood|prosperity|robust
壱,N1,one (in documents)
奇,N1,curiosity|strange|strangeness
奈,N1,Nara|what?
奉,N1,dedicate|observance|offer|present
奎,N1,god of literature|star
奏,N1,complete|play music|speak to a ruler
契,N1,pledge|promise|vow
奔,N1,bustle|run
奨,N1,encourage|exhort|urge
奪,N1,dispossess|plunder|rob|snatch away|take by force|usurp
奮,N1,be invigorated|flourish|stirred up
奴,N1,fellow|guy|manservant|slave
如,N1,as if|best|better|equal|like|likeness|such as
妃,N1,princess|queen
妄,N1,delusion|reckless|unnecessarily|without authority
妊,N1,pregnancy
妙,N1,charming|delicate|excellent|exquisite|miracle|mystery|queer|strange
妥,N1,depravity|gentle|peace
妨,N1,disturb|hamper|obstruct|prevent
姫,N1,princess
姻,N1,marry|matrimony
姿,N1,figure|form|shape
威,N1,dignity|intimidate|majesty|menace|threaten
娠,N1,pregnancy|with child
娯,N1,pleasure|recreation
婆,N1,grandma|old woman|wet nurse
婿,N1,bridegroom|son-in-law
媒,N1,go-between|mediator
媛,N1,beautiful woman|princess
嫁,N1,bride|marry into
嫌,N1,detest|dislike|hate
嫡,N1,direct descent (non-bastard)|legitimate wife
嬉,N1,glad|pleased|rejoice
嬢,N1,Miss|daughter|girl|lass
孔,N1,cavity|exceedingly|great|hole|slit|very
孟,N1,beginning|chief
孤,N1,alone|orphan
宏,N1,large|wide
宗,N1,denomination|essence|main point|origin|religion|sect
宙,N1,air|interval of time|memorization|mid-air|sky|space
宜,N1,best regards|good
宣,N1,announce|proclaim|say
宥,N1,calm|pacify|soothe
宮,N1,Shinto shrine|constellations|palace|princess
宰,N1,manager|rule|superintend
宴,N1,banquet|feast|party
宵,N1,early night|evening|wee hours
寂,N1,death of a priest|loneliness|mature|mellow|quietly
寅,N1,3-5AM|sign of the tiger|third sign of Chinese zodiac
密,N1,carefulness|density (pop)|minuteness|secrecy
寛,N1,be at ease|broadminded|feel at home|generosity|leniency|relax|tolerant
寡,N1,few|minority|widow
寧,N1,peaceful|preferably|quiet|rather|tranquility
審,N1,hearing|judge|trial
寮,N1,dormitory|hostel|tea pavillion|villa
寸,N1,a little|measurement|small|tenth of a shaku
射,N1,archery|onto|shine into|shoot
尉,N1,jailer|military officer|old man|rank
尋,N1,fathom|inquire|look for
尚,N1,esteem|furthermore|still|yet
尭,N1,far|high
就,N1,concerning|depart|per|settle|study|take position
尺,N1,Japanese foot|measure|rule|scale|shaku
尼,N1,nun
尽,N1,befriend|deplete|exhaust|run out of|serve|use up
尾,N1,counter for fish|end|lower slope of mountain|tail
尿,N1,urine
屈,N1,bend|flinch|submit|yield
展,N1,expand|unfold
属,N1,affiliated|belong|genus|subordinate official
履,N1,boots|complete|footgear|perform|put on (the feet)|shoes
屯,N1,barracks|camp|police station|ton
岐,N1,arena|branch off|fork in road|scene|theater
岬,N1,cape|headland|promontory|spit
岳,N1,mountain|peak|point
峠,N1,(kokuji)|climax|crest|mountain pass|mountain peak
峡,N1,gorge|ravine
峰,N1,peak|summit
峻,N1,high|steep
崇,N1,adore|respect|revere|worship
崎,N1,cape|promontory|spit
崚,N1,mountains towering in a row
崩,N1,crumble|demolish|die|level
嵐,N1,storm|tempest
嵩,N1,be aggravated|grow bulky|grow worse|swell
嵯,N1,craggy|rugged|steep
嶺,N1,peak|summit
巌,N1,boulder|crag|rock
巡,N1,circumference|go around|patrol
巣,N1,cobweb|den|hive|nest|rookery
巧,N1,adroit|ingenuity|skilled
己,N1,self
巳,N1,9-11AM|sign of the snake or serpent|sixth sign of Chinese zodiac
巴,N1,comma-design
巽,N1,southeast
帆,N1,sail
帝,N1,creator|god|sovereign|the emperor
帥,N1,commander|governor|leading troops
帳,N1,account book|album|curtain|net|notebook|tent|veil
幕,N1,act of play|bunting|curtain
幣,N1,Shinto offerings of cloth|bad habit|cash|cut paper|gift|humble prefix|rope
幹,N1,capability|main part|talent|tree trunk
幻,N1,apparition|dream|illusion|phantasm|vision
幽,N1,calm|confine to a room|dark|deep|faint|profound|seclude|secluded|tranquil
庄,N1,hamlet|in the country|level|manor|village
序,N1,beginning|chance|incidentally|occasion|order|precedence|preface
庶,N1,all|bastard|commoner
康,N1,ease|peace
庸,N1,commonplace|employment|ordinary
廃,N1,abandon|abolish|cessation|discarding|obsolete
廉,N1,account|bargain|charge|cheap|contented|honest|low price|peaceful|point|purity|reason|rested|suspicion
廊,N1,corridor|hall|tower
廷,N1,courts|government office|imperial court
弁,N1,braid|conical cap|dialect|discrimination|dispose of|distinguish|petal|speech|valve
弊,N1,abuse|breakage|evil|vice
弐,N1,II|second|two
弓,N1,"bow|bow (archery, violin)"
弔,N1,condolences|funeral|mourning
弘,N1,broad|vast|wide
弥,N1,all the more|increasingly
弦,N1,bowstring|chord|hypotenuse
弧,N1,arc|arch|bow
張,N1,counter for bows & stringed instruments|put up (tent)|spread|stretch
弾,N1,bullet|flip|snap|twang
彗,N1,comet
彦,N1,boy (ancient)|lad
彩,N1,coloring|makeup|paint
彪,N1,mottled|patterned|small tiger|spotted
彫,N1,carve|chisel|engrave
彬,N1,gentle|refined
彰,N1,clear|patent
影,N1,phantom|shadow|silhouette
往,N1,before|chase away|formerly|going|journey|let go|travel
征,N1,attack the rebellious|collect taxes|subjugate
径,N1,diameter|method|path
徐,N1,deliberately|gently|gradually|slowly
従,N1,accompany|comply|follow|incidental|obey|secondary|submit to|subordinate
循,N1,follow|sequential
微,N1,delicate|insignificance|minuteness
徳,N1,benevolence|commanding respect|goodness|virtue
徴,N1,collect|indications|omen|question|refer to|seek|sign|symptom
徹,N1,clear|penetrate|pierce|sit up (all night)|strike home
忌,N1,abhor|death anniversary|detestable|mourning
忍,N1,bear|conceal|endure|put up with|secrete|sneak|spy
志,N1,aspire|hopes|intention|motive|plan|resolve|shilling
応,N1,OK|accept|answer|apply|reply|yes
忠,N1,faithfulness|fidelity|loyalty
怜,N1,wise
怠,N1,laziness|neglect
怪,N1,apparition|mystery|suspicious
恒,N1,always|constancy
恕,N1,excuse|forgive|tolerate
恨,N1,bear a grudge|hatred|malice|regret|resentment
恩,N1,benefit|blessing|favor|goodness|grace|kindness|mercy
恭,N1,respect|reverent
恵,N1,blessing|favor|grace|kindness
悌,N1,serving our elders
悔,N1,regret|repent
悟,N1,discern|enlightenment|perceive|realize|understand
悠,N1,distant|leisure|long time|permanence
悦,N1,ecstasy|joy|rapture
悼,N1,grieve over|lament
惇,N1,considerate|kind|sincere
惑,N1,beguile|delusion|perplexity
惜,N1,be sparing of|frugal|pity|regret|stingy
惟,N1,consider|reflect|think
惣,N1,all
惨,N1,cruelty|disaster|harsh|wretched
惰,N1,laziness|lazy
愁,N1,be anxious|distress|grieve|lament
愉,N1,happy|pleasure|rejoice
愚,N1,absurdity|folly|foolish|stupid
慈,N1,mercy
態,N1,appearance|attitude|condition|figure|voice (of verbs)
慎,N1,be careful|discreet|humility|prudent
慕,N1,adore|love dearly|pining|yearn for
慢,N1,laziness|ridicule
慧,N1,wise
慨,N1,be sad|lament|rue|sigh
慮,N1,concern|consider|deliberate|fear|prudence|thought
慰,N1,amusement|cheer|comfort|consolation|console|make sport of|seduce
慶,N1,be happy|congratulate|jubilation|rejoice
憂,N1,be anxious|grieve|lament|melancholy|sad|unhappy
憤,N1,anger|aroused|be indignant|resent
憧,N1,admire|adore|aspire to|long for|yearn after
憩,N1,recess|relax|repose|rest
憲,N1,constitution|law
憶,N1,recollection|remember|think
憾,N1,be sorry|regret|remorse
懇,N1,cordial|courteous|hospitable|kind|sociable
懐,N1,become attached to|bosom|breast|feelings|heart|miss someone|pocket|yearn
懲,N1,chastise|discipline|penal|punish
懸,N1,consult|depend|distant|far apart|hang|state of suspension
我,N1,I|ego|oneself|our|selfish
戒,N1,commandment
戯,N1,frolic|play|sport
房,N1,bunch|fringe|house|lock (hair)|room|segment (orange)|tassel|tuft
扇,N1,fan|folding fan
扉,N1,front door|front page|title page
扱,N1,entertain|handle|strip|thresh
扶,N1,aid|assist|help
批,N1,criticism|strike
抄,N1,copy|extract|selection|spread thin|summary
把,N1,bunch|counter for bundles|faggot|grasp
抑,N1,do in spite of|in the first place|now|press|push|repress|seal|shove|well
抗,N1,confront|defy|oppose|resist
択,N1,choose|elect|prefer|select
披,N1,expose|open
抵,N1,reach|resist|touch
抹,N1,erase|paint|rub
抽,N1,excel|extract|pluck|pull
拍,N1,beat (music)|clap
拐,N1,falsify|kidnap
拒,N1,decline|refuse|reject|repel
拓,N1,break up (land)|clear (the land)|open
拘,N1,adhere to|arrest|concerned|despite|seize
拙,N1,bungling|clumsy|unskillful
拠,N1,based on|follow|foothold|therefore
拡,N1,broaden|enlarge|expand|extend
括,N1,arrest|constrict|fasten|tie up
拳,N1,fist
拷,N1,beat|torture
挑,N1,challenge|contend for|make love to
挙,N1,actions|behavior|plan|project|raise
振,N1,shake|swing|wag|wave
挿,N1,graft|insert|put in|wear (sword)
据,N1,equip|install|lay a foundation|set|sit down|squat down
捷,N1,fast|victory
捺,N1,affix a seal|press|print|stamp
授,N1,confer|grant|impart|instruct
掌,N1,administer|conduct|manipulate|palm of hand|rule
排,N1,arrange|exclude|expel|line up|reject|repudiate
控,N1,be moderate|draw in|hold back|refrain from|withdraw
推,N1,conjecture|guess|infer|push (for)|support|suppose
措,N1,discontinue|except|give up|lay aside|set aside|suspend
掲,N1,describe|display|hang out|hoist|publish|put up|put up (a notice)
描,N1,compose|draw|paint|sketch|write
提,N1,carry in hand|propose|take along
揚,N1,elevate|extol|fry in deep fat|hoist|praise|raise
握,N1,bribe|grip|hold|mould sushi
揮,N1,brandish|shake|swing|wag|wave
援,N1,abet|help|save
揺,N1,rock|shake|sway|swing|tremble|vibrate
搬,N1,carry|conveyor|transport
搭,N1,board|load (a vehicle)|ride
携,N1,armed with|bring along|carry (in hand)|portable
搾,N1,squeeze
摂,N1,absorb|act in addition to|surrogate|take in|vicarious
摘,N1,clip|pick|pinch|pluck|summarize|trim
摩,N1,chafe|grind|polish|rub|scrape
撃,N1,attack|beat|conquer|defeat
撤,N1,disarm|dismantle|exclude|reject|remove|withdraw
撮,N1,snapshot|take pictures
撲,N1,beat|hit|slap|speak|strike|tell
擁,N1,embrace|hug|lead|possess|protect
操,N1,chastity|fidelity|maneuver|manipulate|operate|steer|virginity
擦,N1,chafe|grate|rub|scour|scrape|scratch
擬,N1,aim (a gun) at|imitate|mimic|nominate
攻,N1,aggression|attack|criticize|polish
故,N1,cause|circumstances|consequently|especially|happenstance|intentionally|reason|the late|therefore
敏,N1,agile|alert|cleverness
救,N1,help|reclaim|rescue|salvation|save
敢,N1,bold|brave|daring|pitiful|sad|tragic
敦,N1,industry|kindliness
整,N1,arranging|key (music)|meter|organize|tone|tune
敵,N1,enemy|foe|opponent
敷,N1,pave|promulgate|sit|spread
斉,N1,adjusted|alike|equal|similar variety of
